,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
61,80180544,Ajaibnya Cinta,"International TV Shows, TV Dramas",TV-PG,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",No,Yes
62,80163294,Akulah Balqis,"International TV Shows, TV Dramas",TV-14,"A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model.",No,Yes
63,81003648,Al Hayba,"Crime TV Shows, International TV Shows, TV Dramas",TV-14,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",No,Yes
64,80174285,Alexa & Katie,"Kids' TV, TV Comedies",TV-Y7,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.",No,Yes
65,80119411,Alias Grace,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel.",No,Yes
66,80189208,All About Love,"International TV Shows, TV Dramas, TV Horror",TV-14,Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.,No,Yes
67,80211884,All About the Washingtons,TV Comedies,TV-PG,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.",No,Yes
68,81012998,All American,"TV Dramas, Teen TV Shows",TV-14,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,No,Yes
69,80018987,All Hail King Julien,"Kids' TV, TV Comedies",TV-Y7-FV,"In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures.",No,Yes
70,80174364,All Hail King Julien: Exiled,"Kids' TV, TV Action & Adventure, TV Comedies",TV-Y7-FV,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom.",No,Yes
71,80097140,Altered Carbon,"Crime TV Shows, TV Action & Adventure, TV Dramas",TV-MA,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",No,Yes
72,80205595,Always a Witch,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-14,"A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival.",No,Yes
73,80184067,Amazing Interiors,"British TV Shows, International TV Shows, Reality TV",TV-PG,"Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium.",No,Yes
74,70251519,America's Book of Secrets,Docuseries,TV-14,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",No,Yes
75,80024103,American Crime,"Crime TV Shows, TV Dramas",TV-14,"This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",No,Yes
76,80083977,American Crime Story: The People v. O.J. Simpson,"Crime TV Shows, TV Dramas",TV-MA,"This anthology series dramatizes historic criminal cases in the U.S., including the O.J. Simpson trial and Andrew Cunanan's 1997 murder spree.",No,Yes
77,81076042,American Experience: The Circus,Docuseries,TV-PG,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed.",No,Yes
78,70210884,American Horror Story,"TV Horror, TV Mysteries, TV Thrillers",TV-MA,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil.",No,Yes
79,80026032,American Odyssey,"TV Dramas, TV Thrillers",TV-14,"An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.",No,Yes
80,80117545,American Vandal,"Crime TV Shows, TV Comedies, Teen TV Shows",TV-MA,"A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.",No,Yes
81,80140617,An Innocent Mistake,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,"Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart.",No,Yes
82,70178604,Ancient Aliens,"Docuseries, Science & Nature TV",TV-PG,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",No,Yes
83,81072852,Angel 'N' Devil,"International TV Shows, TV Action & Adventure, TV Comedies",TV-14,"In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons.",No,Yes
84,70201870,Angel Beats!,"Anime Series, International TV Shows",TV-14,"In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.",No,Yes
85,80138030,Angry Birds,"Kids' TV, TV Comedies",TV-G,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",No,Yes
86,80998331,Anjaan: Rural Myths,"International TV Shows, TV Horror, TV Thrillers",TV-14,"Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India.",No,Yes
87,80229034,Anjaan: Special Crimes Unit,"International TV Shows, TV Horror, TV Mysteries",TV-14,"The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.",No,Yes
88,80136311,Anne with an E,"International TV Shows, TV Dramas",TV-PG,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",No,Yes
89,80075178,Anohana: The Flower We Saw That Day,"Anime Series, International TV Shows, Teen TV Shows",TV-PG,A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.,No,Yes
90,80236236,Another Life,"TV Action & Adventure, TV Dramas, TV Mysteries",TV-MA,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",No,Yes
91,81077044,Another Miss Oh,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,"A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",No,Yes
92,81081051,Answer for Heaven,"Crime TV Shows, International TV Shows, TV Comedies",TV-MA,An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.,No,Yes
93,70304979,Anthony Bourdain: Parts Unknown,Docuseries,TV-PG,This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.,No,Yes
94,81106517,Apache: The Life of Carlos Tevez,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.,No,Yes
95,80163890,Apaches,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,No,Yes
96,80026224,Aquarius,"Crime TV Shows, TV Dramas",TV-MA,"Amid the turmoil of 1960s LA, two cops and a prominent political family are drawn into the sex- and drug-fueled web of a young Charles Manson.",No,Yes
97,80221550,Archibald's Next Big Thing,"Kids' TV, TV Comedies",TV-Y7,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",No,Yes
98,80995039,Ares,"International TV Shows, TV Dramas, TV Horror",TV-MA,"Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.",No,Yes
